CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
80002,16,2,2,3,1,0,0,0,0,0,0,0,24,4.00,1,0,25,T
80003,5,11,0,5,11,0,8,17,0,10,1,0,68,21.62,5,1,74,T
80005,0,0,1,0,3,1,2,2,0,0,0,0,9,10.00,1,0,10,T
80010,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,13,13,T
80011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,20,20,T
80012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,19,19,T
80015,3,18,3,6,14,5,0,6,0,3,0,0,58,9.84,3,0,61,T
80016,3,23,4,1,5,5,3,6,0,1,3,0,54,16.67,6,0,60,T
80017,4,2,0,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
80019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,27,27,T
80023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,T
80053,1,8,3,0,2,1,0,4,0,0,1,0,20,4.55,0,2,22,T
80054,3,5,7,3,1,0,0,0,0,0,0,0,19,5.00,1,0,20,T
80056,1,5,2,4,1,3,0,0,0,0,0,0,16,20.00,4,0,20,T
80057,5,11,0,0,1,0,0,0,0,0,0,0,17,5.56,1,0,18,T
80058,3,10,1,0,1,1,0,0,0,1,1,0,18,11.11,0,0,18,T
80059,5,5,4,7,9,4,2,4,1,2,6,0,49,20.00,3,3,55,T
80067,2,4,3,6,6,6,10,4,0,3,0,0,44,39.13,24,1,69,T
80068,2,4,2,1,12,7,6,6,2,2,0,0,44,23.64,11,0,55,T
80069,0,6,1,2,1,1,0,2,1,0,1,0,15,26.32,4,0,19,T
80070,0,7,3,2,13,5,1,10,2,1,1,1,46,22.81,10,1,57,T
80072,7,6,3,4,9,2,0,3,3,5,1,0,43,19.57,3,0,46,T
80073,3,15,2,0,7,1,1,7,0,3,6,0,45,20.00,0,0,45,T
80074,4,9,0,9,8,5,4,8,0,5,7,0,59,26.15,5,1,65,T
80075,1,11,2,0,4,0,0,0,0,0,0,0,18,0.00,0,0,18,T
80076,1,1,1,1,0,0,2,0,0,1,0,0,7,14.29,0,0,7,T
80078,2,3,0,0,0,0,0,0,0,0,0,0,5,16.67,1,0,6,T
80079,14,2,0,0,2,2,0,1,0,0,1,0,22,4.55,0,0,22,T
80082,0,7,1,2,4,0,0,5,0,3,1,0,23,24.00,2,0,25,T
80084,7,9,0,0,0,0,0,0,0,0,0,0,16,0.00,0,0,16,T
80085,4,2,0,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
80087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,14,14,T
80093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,37,37,T
80094,0,3,0,1,1,0,1,3,0,0,0,0,9,9.09,1,1,11,T
80095,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,1,47,48,T
80099,5,7,3,1,1,0,0,0,0,0,0,0,17,5.56,1,0,18,T
80101,1,0,0,1,11,2,4,1,2,0,1,0,23,4.35,0,0,23,T
80102,2,2,0,0,3,2,2,1,0,1,2,0,15,25.00,1,0,16,T
