CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
80001,ECON 2100,"Moore, Robert",11,3,1,0,0,0,15,11.1,2,3.80,1,18,T
80003,AAS 3050,",",3,6,0,0,3,0,12,25.0,0,2.58,0,12,T
80007,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,19,19,T
80008,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,21,21,T
80009,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,25,25,T
80011,ANTH 2020,"Papavasiliou, Faidra",27,21,8,0,2,0,58,8.2,3,3.22,0,61,T
80015,ANTH 8065,"Patico, Jennifer",0,0,0,0,0,0,0,0.0,0,,27,27,T
80049,ART 1010,"Camoosa, Joseph",9,5,4,0,2,0,20,10.0,0,3.00,0,20,T
80050,ART 1010,"Ford, Larkin",13,9,0,0,0,0,22,4.4,1,3.59,0,23,T
80052,ART 1020,"Kroeppler, Karl",7,11,2,0,1,0,21,4.8,0,3.05,0,21,T
80053,ART 1030,"Laxalt, Michelle",8,5,0,0,1,0,14,13.3,1,3.29,0,15,T
80054,ART 1030,"Costello, Linda",10,5,0,0,0,0,15,0.0,0,3.73,0,15,T
80055,ASTR 1000,"McGimsey, Ben",20,23,16,3,5,0,67,17.6,5,2.76,2,74,T
80060,BIOL 2300,"Beirne, Mark",13,21,20,2,0,0,56,27.0,18,2.86,0,74,T
80061,BIOL 3800,"Artinian, Liana",18,22,6,2,1,0,49,11.5,3,3.10,0,52,T
80062,BIOL 3810,"Sitvarin, Michael",7,8,4,2,1,0,22,13.6,0,2.82,0,22,T
80063,BIOL 3840,"Nusnbaum, Matthew",2,7,10,4,6,0,29,52.5,11,1.86,0,40,H
80064,BIOL 3880,"Maxwell, Robert",10,9,15,5,1,0,40,20.9,3,2.55,0,43,T
80065,BIOL 3900,"Zellars, Malcolm",9,16,16,3,4,0,48,18.0,2,2.54,0,50,T
80066,BIOL 3900,"Zellars, Malcolm",22,20,10,2,4,0,58,11.9,1,2.98,0,59,T
80067,BIOL 3910,"Maxwell, Robert",8,5,0,0,0,0,13,7.1,1,3.54,0,14,T
80068,BIOL 3910,"Maxwell, Robert",3,3,4,0,0,0,10,33.3,5,2.90,0,15,T
80069,BIOL 4696,"Zellars, Malcolm",7,0,0,0,0,0,7,0.0,0,4.00,0,7,T
80070,BIOL 4744,"Chen, Guantao",6,10,3,3,1,0,23,17.4,0,2.78,0,23,T
80073,BIOL 6102,"Roseberry, Aaron",3,7,2,0,1,0,13,13.3,1,2.92,1,15,T
80074,BIOL 6696,"Zellars, Malcolm",14,0,0,0,0,0,14,6.7,1,4.07,0,15,T
80075,BIOL 6744,"Chen, Guantao",4,3,0,1,0,0,8,22.2,1,3.25,0,9,T
80077,BIOL 7802,"Brewer, Matthew",0,0,0,0,0,0,0,16.7,1,,5,6,T
80082,BIOL 8550,"Pierce, George",0,0,0,0,0,0,0,0.0,0,,17,17,T
80083,BIOL 8620,"Brinton, Margo",3,3,2,0,0,0,8,0.0,0,3.13,0,8,T
80084,BIOL 8700,"Aneja, Ritu",0,0,0,0,0,0,0,0.0,0,,15,15,T
80085,BIOL 8800,"Chin, Kuk",0,0,0,0,0,0,0,0.0,0,,6,6,T
80087,3DS 3150,"Harvey, Wesley",8,0,0,0,0,0,8,7.1,1,4.13,5,14,T
80089,CHEM 1151 K,"Thota, Jyotsna",4,15,3,0,1,0,23,8.3,1,2.91,0,24,T
80090,CHEM 1151 K,"Thota, Jyotsna",1,5,7,0,1,0,14,18.8,2,2.36,0,16,T
80092,CHEM 1151 K,"Thota, Jyotsna",5,8,10,0,0,0,23,4.2,1,2.74,0,24,T
80093,CHEM 1151 K,"Stroeva, Elina",3,13,5,0,0,0,21,4.6,1,2.86,0,22,T
80094,CHEM 1151 K,"Stroeva, Elina",6,8,5,1,0,0,20,20.8,4,2.95,0,24,T
80095,CHEM 1151 K,"Stroeva, Elina",1,3,5,1,2,0,12,35.7,2,2.08,0,14,T
80096,CHEM 1151 K,"Stroeva, Elina",2,4,4,0,0,0,10,16.7,2,2.90,0,12,T
80097,CHEM 1211 K,"Xin, Yao",7,7,4,0,2,0,20,18.2,2,2.80,0,22,T
80098,CHEM 1211 K,"Xin, Yao",5,0,0,2,0,0,7,28.6,0,3.29,0,7,T
80099,CHEM 1211 K,"Xin, Yao",5,10,5,2,0,0,22,9.1,0,2.86,0,22,T
80100,CHEM 1211 K,"Xin, Yao",15,3,0,0,0,0,18,14.3,3,3.83,0,21,T
80101,CHEM 1211 K,"Stroeva, Elina",0,4,11,0,2,0,17,16.7,1,2.00,0,18,T
80102,CHEM 1211 K,"Stroeva, Elina",2,5,6,1,4,0,18,39.1,4,2.06,1,23,T
80103,CHEM 1211 K,"Stroeva, Elina",2,5,13,0,3,0,23,33.3,7,2.13,0,30,T
80104,CHEM 1212 K,"Jiang, Jie",10,18,10,1,4,0,43,17.4,3,2.67,0,46,T
80105,CHEM 1212 K,"Jiang, Jie",14,13,10,0,4,0,41,21.3,6,2.80,0,47,T
80106,CHEM 1212 K,"Jiang, Jie",13,14,13,0,3,0,43,11.1,2,2.84,0,45,T
80107,CHEM 2400,"Harden, Jeremiah",36,72,62,4,20,0,194,19.4,17,2.51,0,211,T
80108,CHEM 3110,"Robilotto, Thomas",30,8,3,1,0,0,42,2.3,0,3.64,2,44,T
80109,CHEM 4110,"Gozem, Samer",11,14,10,0,0,0,35,7.7,3,3.06,1,39,T
80112,CHEM 4600,"Mariani, Victoria",23,64,50,7,7,0,151,14.1,9,2.60,3,163,T
80115,CHEM 4940,"Mooring, Suazette",6,0,0,0,0,0,6,0.0,0,4.00,1,7,T
80118,CHEM 6110,"Gozem, Samer",6,3,1,0,0,0,10,0.0,0,3.50,0,10,T
80119,CHEM 6850,"Patonay, Gabor",16,2,0,0,0,0,18,5.3,1,3.89,0,19,T
80123,CHEM 8800,"Mooring, Suazette",35,6,0,0,0,0,41,0.0,0,3.80,0,41,T
80143,CRJU 3020,"Ouellet, Marie",8,4,7,8,4,0,31,45.7,4,2.06,0,35,T
80146,CSC 3210,"Mussa, Awad",2,9,9,0,0,0,20,4.8,1,2.75,0,21,T
80147,CSC 3320,"Le, Hai",0,3,2,0,1,0,6,16.7,0,2.17,0,6,T
80148,CSC 4210,"Belkasim, Saeid",9,21,17,0,4,0,51,11.3,2,2.73,0,53,T
80149,CSC 4310,"McDermott, Michael",9,14,3,1,3,0,30,23.5,4,2.90,0,34,T
80150,CSC 4520,"Li, Wei",14,30,4,0,2,0,50,4.0,0,3.02,0,50,T
80169,DPP 4940,"Longobardi, Pamela",7,4,0,0,0,0,11,0.0,0,3.55,0,11,T
80170,DPP 4950,"Longobardi, Pamela",11,0,0,0,0,0,11,0.0,0,3.91,0,11,T
80172,ENGL 1101,"Stuart, Esther",17,2,1,1,1,0,22,13.0,1,3.55,0,23,T
80173,ENGL 1101,"Stuhr, Tanya",15,7,0,0,0,0,22,0.0,0,3.68,0,22,T
80174,ENGL 1101,"Marlatt, Lauren",5,13,6,0,0,0,24,0.0,0,3.00,0,24,T
80175,ENGL 1101,"Bonner, Nora",17,3,0,1,1,0,22,13.0,1,3.55,0,23,T
80176,ENGL 1101,"Derrick, Keith",9,7,3,2,1,0,22,13.6,0,2.91,0,22,T
80177,ENGL 1101,"Turner, Nicole",9,10,2,1,3,0,25,16.0,0,2.84,0,25,T
80178,ENGL 1101,"Stuart, Esther",16,3,1,0,3,0,23,13.0,0,3.30,0,23,T
80179,ENGL 1101,"Kimbell, Emily",7,16,1,0,0,0,24,0.0,0,3.29,0,24,T
80180,ENGL 1101,"Lee, I-Hsien",14,6,1,0,2,0,23,8.7,0,3.30,0,23,T
80181,ENGL 1101,"Rowe, Cora",15,10,0,0,0,0,25,0.0,0,3.56,0,25,T
80182,ENGL 1101,"Bramblett, Sarah",9,12,1,1,0,0,23,8.3,1,3.26,0,24,T
80183,ENGL 1101,"Rogers, Amanda",7,8,7,0,0,0,22,4.2,1,2.86,1,24,T
80184,ENGL 1101,"Latimer, Shana",1,12,9,0,0,0,22,0.0,0,2.55,0,22,T
80185,ENGL 1101,"Bramblett, Sarah",10,11,1,0,1,0,23,12.0,2,3.26,0,25,T
80186,ENGL 1101,"Tan, Yi",9,10,1,0,2,0,22,9.1,0,3.05,0,22,T
80187,ENGL 1101,"Brooks, Jody",9,8,1,2,0,0,20,8.0,0,3.10,5,25,H
80188,ENGL 1101,"Dong, Lin",16,7,1,0,0,0,24,4.0,1,3.63,0,25,T
80189,ENGL 1102,"Malone, Meagan",13,8,1,0,2,0,24,15.4,2,3.29,0,26,T
80190,ENGL 1102,"Graves, Stephanie",14,4,1,0,1,0,20,4.8,0,3.50,1,21,T
80191,ENGL 1102,"Doyle, Hannah",18,0,1,0,2,0,21,9.5,0,3.43,0,21,T
80192,ENGL 1102,"Privett, Joshua",11,5,1,2,1,0,20,21.7,2,3.10,1,23,T
80193,ENGL 1102,"Nam, Yunjung",9,6,1,0,3,0,19,22.7,2,2.89,1,22,T
80194,ENGL 1102,"Martin, Joshua",18,6,0,0,1,0,25,4.0,0,3.60,0,25,T
80195,ENGL 1102,"Stephens, Marissa",23,1,0,0,1,0,25,7.4,1,3.80,1,27,T
80196,ENGL 1102,"Topping, Elizabeth",17,3,2,0,0,0,22,8.0,2,3.64,1,25,T
80197,ENGL 1102,"Gammill, Donald",8,8,6,2,1,0,25,12.0,0,2.80,0,25,T
80198,ENGL 1102,"Barton, Jamila",7,5,5,0,3,0,20,22.7,2,2.65,0,22,T
80199,ENGL 1102,"Carroll, Thomas",6,13,1,2,1,0,23,13.0,0,2.96,0,23,T
80200,ENGL 1102,"Emilio, Gregory",9,5,2,0,0,0,16,5.9,1,3.44,0,17,T
80201,ENGL 1102,"Matteson, Zachary",21,3,0,0,0,0,24,4.0,1,3.88,0,25,T
80202,ENGL 1102,"Dischinger, Matthew",6,15,1,0,2,0,24,8.0,0,3.00,1,25,T
80203,ENGL 1102,"Olive, Jennifer",2,10,10,0,1,0,23,15.4,3,2.52,0,26,T
80204,ENGL 1102,"Fentem, Donald",8,8,3,2,2,0,23,24.0,2,2.74,0,25,T
80205,ENGL 1102,"Gammill, Donald",4,6,1,0,0,0,11,8.3,1,3.27,0,12,T
80206,ENGL 1102,"Emilio, Gregory",10,10,2,0,1,0,23,12.0,2,3.17,0,25,T
80207,ENGL 1103,"Marshall, Daniel",20,0,0,0,0,0,20,0.0,0,4.05,0,20,T
