CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
10002,AAS 2010,"Gayles, Jonathan",55,1,1,2,0,0,59,5.0,1,4.08,0,60,T
10003,AAS 2010,"Hobson, Maurice",2,23,9,7,6,0,47,38.6,9,2.09,1,57,T
10004,AAS 2010,"Simanga, Michael",36,15,3,0,2,0,56,6.7,2,3.46,2,60,T
10005,AAS 3050,"Thomas, Dominique",6,2,0,0,0,0,8,0.0,0,3.75,1,9,T
10006,AAS 3500,"Haydon, Geoffrey",4,4,0,0,2,0,10,25.0,1,2.80,1,12,T
10007,AAS 3500,"Bales, Kevin",8,2,2,0,0,0,12,14.3,2,3.67,0,14,T
10008,AAS 3810,"Scales, Stacey",17,12,2,0,2,0,33,8.3,1,3.36,2,36,T
10010,ACCT 2102,"Partridge, Kathleen",49,106,135,27,7,0,324,12.3,7,2.51,3,334,T
10011,ACCT 2102,"Partridge, Kathleen",16,49,85,17,16,0,183,23.1,13,2.19,3,199,T
10012,ACCT 4210,"Lill, Jeremy",12,16,8,1,2,0,39,10.0,1,2.87,0,40,T
10013,ACCT 4210,"Majerczyk, Michael",10,15,8,0,1,0,34,5.7,1,3.00,0,35,T
10014,ACCT 4310,"Smith, Gary",10,21,11,2,0,0,44,6.7,1,2.91,0,45,T
10016,ACCT 4391,"Sevcik, Galen",7,2,1,0,0,0,10,9.1,1,3.80,0,11,T
10017,ACCT 4510,"Fenn, Christopher",3,7,8,2,0,0,20,13.6,1,2.50,1,22,T
10019,ACCT 8391,"Sevcik, Galen",13,3,0,0,0,0,16,0.0,0,4.00,0,16,T
10020,ACCT 9100,"Moon Jr, James",5,2,0,0,0,0,7,0.0,0,3.86,0,7,T
10021,AE 2300,"Davenport, Melanie",11,2,1,0,0,0,14,0.0,0,3.71,0,14,T
10027,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,10,10,T
10028,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,30,30,T
10029,ANTH 1102,"Papavasiliou, Faidra",26,14,14,5,5,0,64,21.7,5,2.81,0,69,T
10030,ANTH 1102,"Turner-Livermore, Bethany",17,9,4,2,0,0,32,13.9,3,3.28,1,36,T
10031,ANTH 2020,"Papavasiliou, Faidra",28,14,8,0,4,0,54,13.8,4,3.19,0,58,T
10034,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,23,23,T
10038,ANTH 8999,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,9,9,T
10075,AS 4140,"Cox, Samuel",18,14,0,0,0,0,32,0.0,0,3.72,0,32,T
10077,AS 8389,"Akcin, Haci",6,0,0,0,1,0,7,14.3,0,3.43,0,7,T
10080,BA 8510,"Bennett, Nathan",0,0,0,0,0,0,0,0.0,0,,298,298,T
10081,BA 9000,",",0,0,0,0,0,0,0,0.0,0,,70,70,T
10082,BA 9500,",",0,0,0,0,0,0,0,0.0,0,,15,15,T
10083,BA 9510,",",0,0,0,0,0,0,0,0.0,0,,30,30,T
10084,BCOM 3950,"Guthrie, Kenneth",6,12,3,4,3,0,28,25.0,0,2.46,0,28,T
10085,BCOM 3950,"Cross, Marcia",7,9,3,3,3,0,25,32.1,3,2.60,0,28,T
10086,BCOM 3950,"Costello, Jan",7,8,8,2,1,0,26,14.8,1,2.58,0,27,T
10087,BCOM 3950,"Merritt, Necole",9,11,4,1,0,0,25,17.2,4,3.20,0,29,T
10088,BCOM 3950,"Costello, Jan",4,12,5,3,0,0,24,25.0,4,2.63,0,28,T
10089,BCOM 3950,"Nelson, Veatrice",11,16,1,0,0,0,28,0.0,0,3.36,0,28,T
10090,BCOM 3950,"Cross, Marcia",11,10,3,2,1,0,27,11.1,0,3.07,0,27,T
10091,BCOM 3950,"Costello, Jan",3,4,10,3,3,0,23,37.9,5,2.00,1,29,T
10092,BCOM 3950,"Kuerston, Richard",5,13,2,1,5,0,26,25.0,1,2.42,1,28,T
10093,BCOM 3950,"Blakely, Malika",6,9,6,1,2,0,24,21.4,3,2.58,1,28,T
10095,BIOL 2300,"El-Mayas, Hanan",37,45,16,2,7,0,107,11.6,4,2.99,1,112,T
10096,BIOL 2300,"El-Mayas, Hanan",33,31,7,1,4,0,76,11.3,4,3.16,0,80,T
10100,BIOL 3800,"Poole, Therese",25,20,8,1,0,0,54,3.6,1,3.33,0,55,T
10101,BIOL 3800,"Zhang, Hongmei",15,19,13,2,0,0,49,15.8,7,2.94,1,57,T
10102,BIOL 3810,"Poole, Therese",17,3,1,0,0,0,21,8.7,2,3.86,0,23,T
10103,BIOL 3810,"Cruz, Francisco",8,7,1,0,0,0,16,11.1,2,3.38,0,18,T
10104,BIOL 3840,"Ulrich, Paul",8,8,16,6,7,0,45,34.7,4,2.09,0,49,T
10106,BIOL 3850,"Reber, Amy",2,10,4,3,1,0,20,27.3,2,2.55,0,22,T
10107,BIOL 3880,"Parks, Samantha",8,7,6,3,4,0,28,34.4,4,2.43,0,32,T
10110,BIOL 3900,"Zellars, Malcolm",13,14,8,3,5,0,43,18.2,0,2.67,1,44,T
10111,BIOL 3900,"Zellars, Malcolm",19,20,12,4,7,0,62,19.7,2,2.71,2,66,T
10112,BIOL 3910,"Maxwell, Robert",7,5,0,0,0,0,12,14.3,2,3.50,0,14,T
10113,BIOL 4102,"Rehder, Vincent",7,10,15,3,1,0,36,22.0,5,2.50,0,41,T
10116,BIOL 4970,"Aneja, Ritu",0,0,0,0,0,0,0,2.9,1,,33,34,T
10123,BIOL 7802,"Blaustein, David",0,0,0,0,0,0,0,0.0,0,,21,21,T
10132,BIOL 8700,"Liu, Yuan",0,0,0,0,0,0,0,1.7,1,,59,60,T
