CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
50002,1,3,2,1,4,0,3,2,0,1,0,0,17,15.00,2,1,20,T
50004,3,1,1,2,2,4,0,0,1,2,1,0,17,17.65,0,0,17,T
50005,4,4,3,3,1,1,2,4,3,1,4,0,30,26.47,4,0,34,T
50006,2,4,3,5,3,2,4,2,1,3,3,0,32,18.18,0,1,33,T
50007,4,3,6,4,3,2,8,4,1,1,3,0,39,18.18,4,1,44,T
50008,2,7,2,2,7,5,4,4,3,2,4,0,42,25.00,6,0,48,T
50009,1,2,3,6,1,3,5,7,5,1,3,1,38,19.51,3,0,41,T
50010,1,0,3,0,5,6,1,0,3,0,1,0,20,13.64,2,0,22,T
50011,0,8,4,4,0,0,1,0,0,0,0,0,17,5.56,1,0,18,T
50012,0,4,4,5,1,0,0,0,0,0,0,0,14,0.00,0,0,14,T
50017,5,2,0,1,1,0,0,0,0,0,0,0,9,0.00,0,0,9,F
50019,2,2,2,1,1,3,1,1,1,0,1,0,15,12.50,1,0,16,T
50025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,9,9,T
50026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,T
50034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,8,8,T
50037,0,2,6,0,0,0,0,0,0,0,0,0,8,0.00,0,0,8,T
50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,134,134,T
50051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,55,55,T
50052,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,1,12,13,T
50053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,13,13,T
50054,4,10,3,2,2,0,1,0,1,0,3,0,26,14.81,1,0,27,T
50055,0,11,6,1,3,2,0,1,1,1,0,0,26,10.71,2,0,28,T
50056,0,0,8,8,2,0,2,0,0,0,1,0,21,4.55,0,1,22,T
50057,1,1,4,4,3,3,2,0,3,2,1,0,24,18.52,2,1,27,T
50058,0,4,1,1,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
50059,1,9,3,2,3,3,1,1,0,0,0,0,23,0.00,0,0,23,T
50060,3,10,3,1,3,0,0,0,0,0,0,0,20,0.00,0,0,20,T
50061,2,3,3,3,4,0,2,4,0,2,1,0,24,12.00,0,1,25,T
50062,0,8,0,2,4,1,3,3,0,0,0,0,21,8.70,2,0,23,T
50063,2,2,3,2,1,0,1,0,0,0,1,0,12,8.33,0,0,12,T
50065,0,5,3,1,6,1,0,1,0,0,1,0,18,10.53,1,0,19,T
50067,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,2,30,32,T
50069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,6,6,T
50079,3,0,1,4,6,7,4,4,1,5,1,0,36,15.79,0,2,38,T
50080,1,6,3,1,9,7,3,5,2,1,0,0,38,9.76,3,0,41,T
50081,4,8,1,7,6,4,2,3,3,0,0,0,38,2.56,1,0,39,T
50082,0,5,5,12,14,3,3,1,0,0,0,0,43,0.00,0,1,44,T
50083,0,10,4,4,2,2,1,0,0,0,0,1,24,11.11,2,1,27,T
50084,0,6,11,7,8,1,0,1,0,1,1,0,36,5.56,0,0,36,T
50085,0,6,7,8,11,5,2,4,0,0,0,0,43,0.00,0,0,43,T
50086,5,7,2,4,11,1,1,6,5,0,0,0,42,4.26,2,3,47,T
50087,9,5,3,3,9,1,2,5,0,2,0,0,39,9.09,2,3,44,T
50088,2,5,6,4,12,4,4,8,1,0,0,0,46,2.08,1,1,48,T
50089,2,4,3,4,4,2,11,3,0,0,0,0,33,0.00,0,1,34,T
50092,2,9,3,11,2,18,22,10,7,0,2,0,86,9.57,7,1,94,T
50096,1,1,0,6,1,1,1,0,2,0,0,0,13,6.67,1,1,15,T
50118,0,3,1,0,4,4,1,4,2,1,1,0,21,13.64,1,0,22,T
50120,1,2,1,1,4,1,1,1,0,0,2,0,14,13.33,0,1,15,T
50132,1,4,0,0,4,0,0,2,0,0,0,0,11,0.00,0,1,12,T
50153,0,1,4,4,1,2,0,1,0,4,2,0,19,31.58,0,0,19,T
50154,3,15,1,0,2,0,0,0,0,0,1,0,22,8.70,1,0,23,T
50155,0,6,4,3,5,1,1,1,0,0,2,0,23,12.00,1,1,25,T
50156,1,4,2,1,3,0,0,1,0,0,2,0,14,13.33,0,1,15,T
