CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
10001,AAS 2010,"Kyles, Tarell",50,5,0,0,0,0,55,8.3,5,3.78,0,60,T
10003,AAS 2010,"Gayles, Jonathan",41,2,1,0,1,0,45,4.4,1,4.07,0,46,T
10004,AAS 3050,"Harris, Alesha",2,2,1,0,0,0,5,14.3,1,3.00,1,7,T
10007,AAS 3810,"Scales, Stacey",18,5,0,0,0,0,23,4.0,1,3.91,1,25,T
10009,ACCT 2102,"Potts, Casey",48,97,129,29,10,0,313,16.9,17,2.46,1,331,T
10011,ACCT 4210,"Zhou, Hailan",18,10,9,1,1,0,39,15.9,5,3.03,0,44,T
10012,ACCT 4210,"Kohlmeyer, James",3,2,8,5,1,0,19,45.8,5,1.95,0,24,T
10015,ACCT 4391,"Clark, Kris",12,1,0,0,0,0,13,7.1,1,4.08,0,14,T
10018,ACCT 8391,"Clark, Kris",7,3,0,0,0,0,10,0.0,0,3.70,0,10,T
10020,AE 2300,"Davenport, Melanie",12,2,0,0,0,0,14,6.7,1,3.79,0,15,T
10024,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,12,12,T
10025,AL 8930,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,36,36,T
10026,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,7,7,T
10028,ANTH 1102,"Turner-Livermore, Bethany",38,17,4,1,4,0,64,10.6,2,3.41,0,66,T
10029,ANTH 2020,"Papavasiliou, Faidra",38,14,11,0,0,0,63,1.5,1,3.46,1,65,T
10030,ANTH 4830,"Papavasiliou, Faidra",7,0,0,0,0,0,7,0.0,0,4.14,0,7,T
10032,ANTH 8065,"Kozaitis, Kathryn",0,0,0,0,0,0,0,8.3,1,,11,12,T
10036,ANTH 8999,"Kozaitis, Kathryn",0,0,0,0,0,0,0,0.0,0,,8,8,T
10078,BA 8510,"Bennett, Nathan",0,0,0,0,0,0,0,0.0,0,,272,272,T
10079,BA 9000,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,60,60,T
10080,BA 9500,"Yao, Wenxiong",0,0,0,0,0,0,0,0.0,0,,18,18,T
10081,BA 9510,",",0,0,0,0,0,0,0,0.0,0,,19,19,T
10082,BCOM 3950,"Cross, Marcia",12,5,4,0,0,0,21,8.3,2,3.29,1,24,T
10083,BCOM 3950,"Sandmeier, Miglena",25,0,1,0,2,0,28,7.1,0,3.71,0,28,T
10084,BCOM 3950,"Costello, Jan",5,16,5,0,0,0,26,3.7,1,2.96,0,27,T
10085,BCOM 3950,"Pearson, Nicole",6,9,7,1,1,0,24,18.5,3,2.71,0,27,T
10086,BCOM 3950,"Cross, Marcia",7,14,5,0,1,0,27,6.9,1,2.96,1,29,T
10087,BCOM 3950,"Nelson, Veatrice",11,7,8,0,1,0,27,10.3,2,3.00,0,29,T
10088,BCOM 3950,"Mcgowan, Andrew",9,14,4,1,0,0,28,6.9,1,3.07,0,29,T
10089,BCOM 3950,"Costello, Jan",3,11,7,2,0,1,24,16.0,1,2.50,0,25,T
10090,BCOM 3950,"Kuerston, Richard",14,12,2,0,0,0,28,3.5,1,3.39,0,29,T
10091,BCOM 3950,"Guthrie, Kenneth",11,7,3,0,0,0,21,22.2,6,3.29,0,27,T
10092,BIOL 2300,"Zellars, Malcolm",7,22,31,11,18,0,89,42.3,15,1.89,0,104,T
10094,BIOL 3800,"Poole, Therese",12,23,13,2,2,0,52,10.9,2,2.83,1,55,T
10095,BIOL 3800,"Zhang, Hongmei",15,13,13,7,2,0,50,24.1,4,2.64,0,54,T
10096,BIOL 3810,"Poole, Therese",19,5,2,0,0,0,26,0.0,0,3.73,0,26,T
10097,BIOL 3810,"Cruz, Francisco",14,6,3,0,0,0,23,0.0,0,3.48,0,23,T
10098,BIOL 3840,"Ulrich, Paul",14,21,11,8,10,0,64,33.8,6,2.34,1,71,T
10100,BIOL 3880,"Parks, Samantha",5,7,8,3,1,0,24,18.5,1,2.46,2,27,T
10102,BIOL 3900,"Zellars, Malcolm",12,11,10,5,5,0,43,30.6,5,2.51,1,49,T
10103,BIOL 3900,"Zellars, Malcolm",13,16,14,8,9,0,60,32.8,4,2.30,0,64,T
10104,BIOL 3910,"Maxwell, Robert",13,6,0,0,0,0,19,13.6,3,3.74,0,22,T
10107,BIOL 4970,"Nusnbaum, Matthew",0,0,0,0,0,0,0,1.9,1,,52,53,T
10113,BIOL 7802,"Blaustein, David",0,0,0,0,0,0,0,0.0,0,,26,26,T
10121,BIOL 8700,"Nazarko, Taras",0,0,0,0,0,0,0,0.0,0,,33,33,T
10125,BUSA 2106,"Varadarajan, Deepa",38,44,25,8,2,0,117,9.2,1,2.95,2,120,T
10126,BUSA 2106,"Willey, Susan",11,4,0,0,0,0,15,0.0,0,3.73,0,15,T
10127,BUSA 2106,"Grelecki, Ryan",95,16,3,1,3,0,118,5.0,2,3.82,0,120,T
10128,BUSA 2106,"Binder, Perry",12,14,10,4,3,0,43,20.0,2,2.58,0,45,T
10129,BUSA 2106,"Deloach, Carol",5,14,16,6,3,0,44,22.2,1,2.18,0,45,T
10130,BUSA 2106,"Sherman, Peggy",38,44,26,2,5,0,115,10.0,5,2.92,0,120,T
10131,BUSA 2106,"Neculae, Andreea",12,17,9,3,2,0,43,13.3,1,2.88,1,45,T
10132,BUSA 2106,"Strong, Michael",13,24,7,0,0,0,44,11.9,7,3.11,8,59,T
10133,BUSA 2106,"Hamby, Charlie",16,18,4,0,0,0,38,9.5,4,3.42,0,42,T
10134,BUSA 2106,"Lucke, James",14,20,8,2,0,0,44,4.4,0,3.05,1,45,T
10135,BUSA 3000,"Zhang, Yimai",13,18,6,3,4,0,44,17.8,1,2.73,0,45,H
10136,BUSA 3000,"Pinho, Maria Luiza",14,29,2,0,0,0,45,0.0,0,3.24,1,46,T
10137,BUSA 3000,"Doria, Evaristo",95,46,4,1,0,0,146,2.7,3,3.57,0,149,T
10138,BUSA 3000,"Pinho, Maria Luiza",15,22,5,1,0,0,43,4.6,1,3.12,0,44,T
10139,BUSA 3000,"Nifadkar, Sushil",27,18,1,0,0,0,46,0.0,0,3.54,0,46,T
10140,BUSA 3000,"Nifadkar, Sushil",24,14,5,0,0,0,43,2.2,1,3.44,1,45,T
10141,BUSA 3000,"De Farias, Salomao",6,21,8,0,4,0,39,16.3,3,2.62,1,43,T
10142,BUSA 4980,"Dionne, Steven",13,20,7,0,1,0,41,4.8,1,3.05,0,42,T
10143,BUSA 4980,"White, Marta",16,13,2,0,0,0,31,0.0,0,3.48,0,31,T
10144,BUSA 4980,"Park, Brian",20,21,5,0,2,0,48,4.2,0,3.21,0,48,T
10145,BUSA 4980,"Dionne, Steven",12,29,4,1,0,0,46,2.2,0,3.11,0,46,T
10146,BUSA 4980,"White, Marta",8,15,18,0,0,0,41,0.0,0,2.73,0,41,T
10147,BUSA 4980,"Park, Brian",20,23,2,0,0,0,45,0.0,0,3.38,0,45,T
10148,BUSA 4980,"Matherne, Brett",8,27,12,0,0,0,47,0.0,0,2.91,0,47,T
10149,BUSA 4980,"Park, Brian",18,21,6,0,1,0,46,2.2,0,3.17,0,46,T
10150,CHEM 1151 K,"Xue, Shenghui",22,17,3,0,3,0,45,12.5,3,3.20,0,48,T
10151,CHEM 1151 K,"Xue, Shenghui",12,8,1,0,0,0,21,4.6,1,3.38,0,22,T
10152,CHEM 1152 K,"Thota, Jyotsna",1,5,6,1,0,0,13,33.3,5,2.54,0,18,T
10153,CHEM 1152 K,"Thota, Jyotsna",7,21,18,0,0,0,46,2.1,1,2.78,1,48,T
