CRN,Course,Professor,A  (90-100),B  (80-89),C  (70-79),D  (60-69),F <60,WF,A- WF,DWF,W,CRS AVG,Other,Total,Instruction Method
50001,KH 3550,"Brandon, Leslie",1,5,1,0,0,0,7,0.0,0,3.14,1,8,T
50002,KH 3650,"Doyle, James",7,3,2,0,0,0,12,0.0,0,3.50,0,12,T
50003,KH 4290,"Ingalls, Christopher",1,4,2,2,0,0,9,30.0,1,2.33,0,10,T
50005,ACCT 2101,"Clark, Kris",11,8,12,2,2,0,35,16.2,2,2.71,0,37,T
50006,ACCT 2101,"He, Hao",12,21,12,3,1,0,49,9.6,1,2.84,2,52,T
50007,ACCT 2102,"Lu, Shangru",4,10,11,0,0,0,25,0.0,0,2.80,2,27,T
50008,ACCT 2102,"Potts, Casey",7,15,19,2,4,0,47,17.7,3,2.45,1,51,T
50010,ACCT 4310,"Jones, Lynn",12,17,4,0,1,0,34,13.2,4,3.12,0,38,T
50012,ACCT 4391,"Clark, Kris",6,0,0,0,0,0,6,0.0,0,4.00,0,6,F
50013,ACCT 8391,"Clark, Kris",7,2,0,0,0,0,9,0.0,0,3.78,0,9,F
50015,AL 3021,"Ren, Haoshan",6,2,0,0,0,0,8,0.0,0,3.88,0,8,T
50017,AL 8920,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,6,6,T
50020,AL 8940,"Belcher, Diane",0,0,0,0,0,0,0,0.0,0,,10,10,T
50027,AS 8389,"Akcin, Haci",7,0,0,0,0,0,7,0.0,0,4.00,0,7,T
50039,BA 8510,"Maurer, Todd",0,0,0,0,0,0,0,0.8,1,,129,130,T
50040,BA 9000,"Yao, Wenxiong",0,0,0,0,0,0,0,2.5,1,,39,40,T
50043,BCOM 3950,"Sandmeier, Miglena",22,2,2,0,0,0,26,3.7,1,3.92,0,27,T
50044,BCOM 3950,"Guthrie, Kenneth",5,12,8,0,3,0,28,13.8,1,2.54,0,29,T
50045,BCOM 3950,"Cross, Marcia",20,5,1,0,1,0,27,3.7,0,3.56,0,27,T
50046,BCOM 3950,"Mcgowan, Andrew",9,8,4,1,0,0,22,4.6,0,3.14,0,22,T
50047,BIOL 2310,"Maxwell, Robert",3,3,6,4,1,0,17,33.3,1,2.12,0,18,T
50049,BIOL 3810,"Cruz, Francisco",14,3,2,1,0,1,21,9.5,0,3.43,0,21,T
50050,BIOL 3840,"Rodgers, Edmund",19,9,15,7,8,0,58,25.4,0,2.48,1,59,T
50051,BIOL 3890,"Maxwell, Robert",5,8,1,2,1,0,17,17.7,0,2.82,0,17,T
50052,BIOL 3890,"Maxwell, Robert",2,9,4,3,0,0,18,21.1,1,2.56,0,19,T
50054,BIOL 3910,"Maxwell, Robert",9,6,1,0,0,0,16,11.1,2,3.63,0,18,T
50056,BIOL 4970,"Liu, Yuan",0,0,0,0,0,0,0,7.1,2,,26,28,T
50068,BUSA 2106,"Binder, Perry",8,15,13,2,5,0,43,17.8,1,2.40,1,45,T
50070,BUSA 2106,"Binder, Perry",9,20,9,4,0,0,42,11.6,1,2.76,0,43,T
50071,BUSA 3000,"Doria, Evaristo",20,20,2,0,0,0,42,0.0,0,3.38,3,45,T
50072,BUSA 3000,"Pinho, Maria Luiza",19,13,2,0,0,0,34,0.0,0,3.50,0,34,T
50073,BUSA 3000,"Carrillo, Pedro",7,18,5,1,1,0,32,6.3,0,2.91,0,32,T
50074,BUSA 4980,"Dionne, Steven",14,28,6,0,0,0,48,4.0,2,3.15,0,50,T
50075,CHEM 1211 K,"Thota, Jyotsna",8,17,10,2,0,0,37,17.8,6,2.78,2,45,T
50076,CHEM 1211 K,"Thota, Jyotsna",8,12,16,1,1,0,38,16.3,5,2.61,0,43,T
50077,CHEM 1212 K,"Alghoul, Zahra",5,16,12,4,0,0,37,17.5,3,2.59,0,40,T
50078,CHEM 3110,"Fernando, Nilmi",8,15,10,0,0,0,33,8.3,3,2.94,0,36,T
50080,CHEM 4600,"Mariani, Victoria",7,16,30,6,2,0,61,17.9,4,2.36,2,67,T
50082,CHEM 6600,"Mariani, Victoria",1,5,4,0,0,0,10,9.1,1,2.60,0,11,T
50089,CHEM 8910,"Henary, Maged",0,0,0,0,0,0,0,0.0,0,,6,6,T
50106,CIS 2010,"Schmitz, Kurt",45,38,21,4,9,0,117,13.7,4,2.88,3,124,T
50117,CSC 3210,"Zhu, Saide",11,4,0,0,0,0,15,15.8,3,3.80,1,19,T
50138,ENGL 1101,"Schuett, Elisha",9,15,2,0,1,0,27,3.7,0,3.19,0,27,T
50139,ENGL 1101,"Gunn, Jane",9,3,0,0,0,0,12,0.0,0,3.75,0,12,T
50140,ENGL 1102,"Stuhr, Tanya",17,3,1,0,1,0,22,8.3,1,3.50,1,24,T
50141,ENGL 1102,"Hobbs, Kimberly",14,3,2,1,0,0,20,8.7,1,3.55,2,23,T
50142,ENGL 1102,"Jordan, James",9,9,2,0,2,0,22,16.0,2,3.05,1,25,T
50143,ENGL 1102,"Matteson, Zachary",14,6,2,0,0,0,22,0.0,0,3.50,0,22,T
50144,ENGL 1102,"Graves, Stephanie",10,5,0,0,1,0,16,6.3,0,3.44,0,16,T
50145,ENGL 1102,"Leake, Benjamin",14,4,2,0,2,0,22,12.0,1,3.23,2,25,T
50146,ENGL 1102,"Burns, Robert",13,11,0,1,0,0,25,3.9,0,3.48,1,26,T
50147,ENGL 1102,"Gordon, David",14,1,0,0,4,0,19,31.8,3,3.16,0,22,T
50149,ENGL 8999,"Kocela, Christopher",0,0,0,0,0,0,0,7.6,4,,49,53,T
50151,ENGL 9030,"Kocela, Christopher",0,0,0,0,0,0,0,1.4,1,,69,70,T
50152,FI 3300,"Godbey, Jonathan",8,16,13,2,1,0,40,11.6,2,2.73,1,43,T
50153,FI 3300,"Beard, David",11,10,7,4,1,0,33,17.7,1,2.85,0,34,T
50154,FI 3300,"Wang, Zhe",5,8,7,0,3,0,23,23.1,3,2.52,0,26,T
50155,FI 3300,"Beard, David",6,11,7,4,2,0,30,33.3,6,2.50,0,36,T
50156,FI 4000,"Chen, Mark",13,20,7,0,2,0,42,6.8,1,3.05,1,44,T
50160,FREN 1001,"Doku, Juliet",13,6,4,0,2,0,25,20.0,4,3.12,1,30,T
50183,HADM 3010,"Kim, Soon-Ho",59,4,0,0,0,0,63,0.0,0,4.02,0,63,F
50185,HADM 4900,"Cannon, Debra",0,0,0,0,0,0,0,0.0,0,,10,10,T
50186,HIST 1111,"Young, Jeffrey",25,20,5,4,4,0,58,20.3,6,2.93,5,69,E
50188,HIST 2110,"Conner, Robin",7,3,0,0,1,0,11,16.7,1,3.27,0,12,T
50192,HIST 8680,"Keller, Chad",0,0,0,0,0,0,0,0.0,0,,9,9,T
50196,HIST 9999,"Cummings, Alexander",0,0,0,0,0,0,0,0.0,0,,38,38,T
50203,JOUR 4980,"Barthlow, Douglas",15,2,0,0,0,0,17,0.0,0,3.88,1,18,T
50208,MATH 1070,"Moosavi Motlaghian, Seyedeh Sara",39,12,9,9,6,1,76,28.7,11,2.92,7,94,T
50209,MATH 1101,"Alexander, Margo",21,8,3,0,1,0,33,13.2,4,3.58,1,38,T
50210,MATH 1101,"Van Der Holst, Hendricus",5,9,3,1,3,0,21,25.0,2,2.52,1,24,T
50211,MATH 1101,"Alexander, Margo",18,9,5,6,5,0,43,38.9,10,2.72,1,54,E
50212,MATH 1111,"Montiel, Mariana",9,9,2,0,0,0,20,13.0,3,3.35,0,23,T
50213,MATH 1113,"Van Der Holst, Hendricus",17,14,7,0,5,0,43,13.6,1,2.88,0,44,T
50214,MATH 2211,"Li, Zhongshan",17,8,4,0,0,0,29,20.0,8,3.48,3,40,T
50215,MATH 2211,"Grinshpon, Mark",25,4,2,3,4,0,38,26.7,5,3.24,2,45,T
50216,MATH 2211,"Vernhes, Hannah",13,3,5,9,8,0,38,51.1,6,2.18,1,45,T
50217,MATH 2212,"Fanoe, Andrew",23,8,9,1,1,0,42,11.1,3,3.36,0,45,T
50218,MATH 2212,"Grinshpon, Mark",7,5,3,5,7,0,27,54.3,7,2.00,1,35,T
50219,MATH 2420,"Adams, Francis",10,2,6,0,2,0,20,20.8,3,2.95,1,24,T
50220,MATH 3000,"Yao, Yongwei",3,8,6,2,1,0,20,18.2,1,2.50,1,22,T
50221,MATH 4435,"Miller, Valerie",1,3,1,3,0,0,8,44.4,1,2.38,0,9,T
50222,MATH 4752,"Liu, Hui",4,2,1,1,1,0,9,30.0,1,2.89,0,10,T
50229,MK 3010,"Lohtia, Ritu",4,10,1,1,0,0,16,6.3,0,3.19,0,16,T
50230,MK 3010,"Pilling, Bruce",1,9,7,2,1,0,20,18.2,1,2.30,1,22,T
50232,MK 4330,"Curasi, Carolyn",4,9,4,1,0,0,18,4.8,0,2.83,3,21,T
50235,MK 4900,"Karron, Jonathan",9,12,3,0,1,0,25,10.3,2,3.20,2,29,T
50237,MUA 1500,"Vernick, Gordon",9,8,4,3,3,0,27,23.3,1,2.67,2,30,T
50238,MUA 1930,"Albo, Francisco",14,15,3,0,0,0,32,2.9,1,3.38,1,34,T
50239,MUA 1930,"Maxwell, Tania",17,5,0,0,1,0,23,4.4,0,3.74,0,23,T
50246,PHIL 2010,"Turyn, Matthew",6,9,0,3,0,0,18,15.8,0,2.94,1,19,T
50247,PHIL 2010,"Payne, Joseph",5,0,1,0,0,0,6,0.0,0,3.50,0,6,T
50248,PHIL 8960,"Okeefe, Timothy",0,0,0,0,0,0,0,0.0,0,,22,22,T
50261,PSYC 3140,"Light, Sharee",34,18,1,0,0,0,53,3.6,2,3.62,1,56,T
50262,PSYC 4100,",",9,25,11,1,1,0,47,4.3,0,2.85,0,47,T
50263,PSYC 4760,"Wilson, Megan",0,0,0,0,0,0,0,0.0,0,,6,6,T
50268,PSYC 8999,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,30,30,T
50278,PSYC 9950 E,"Tully, Erin",0,0,0,0,0,0,0,0.0,0,,23,23,T
