CRN,A+,A,A-,B+,B,B-,C+,C,C-,D,F,WF,A-WF,DWF,W,Other,Total,Instruction Method
10004,7,15,7,14,27,17,39,32,24,37,20,0,239,29.18,18,0,257,T
10005,15,1,1,3,1,7,0,0,0,0,2,0,30,6.67,0,0,30,T
10006,1,2,1,1,5,0,1,1,0,1,2,0,15,29.41,2,0,17,T
10008,19,0,0,0,0,0,0,0,0,0,0,0,19,0.00,0,0,19,T
10014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,10,10,H
10016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,H
10017,12,13,5,3,12,1,4,7,1,9,9,0,76,28.92,6,1,83,T
10018,8,15,6,3,12,2,4,0,2,1,4,0,57,15.87,5,1,63,T
10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,27,27,H
10039,4,1,0,0,0,0,0,0,0,0,0,0,5,14.29,1,1,7,H
10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,1,441,442,T
10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,37,37,T
10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,16,16,T
10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,T
10070,0,6,1,3,4,5,0,3,0,2,1,0,25,21.43,3,0,28,T
10071,0,7,6,7,2,1,1,1,1,0,0,0,26,7.14,2,0,28,T
10072,2,8,6,1,2,4,2,0,0,0,0,0,25,10.71,3,0,28,T
10073,5,7,4,1,2,1,1,1,0,1,2,0,25,21.43,3,0,28,T
10074,0,0,2,4,5,4,1,3,1,2,6,0,28,28.57,0,0,28,T
10075,10,4,6,4,1,0,0,1,0,0,0,0,26,7.14,2,0,28,T
10076,2,8,5,4,1,0,3,1,0,0,2,0,26,17.24,3,0,29,T
10077,5,5,3,5,4,1,2,1,1,0,0,0,27,3.57,1,0,28,T
10078,0,0,2,5,6,3,3,1,1,2,3,0,26,25.00,2,0,28,T
10079,0,1,0,4,2,6,2,2,1,1,5,0,24,33.33,3,0,27,T
10080,4,13,1,3,10,5,2,5,0,0,6,0,49,15.38,2,1,52,T
10081,2,5,3,6,17,6,3,4,0,1,4,0,51,11.54,1,0,52,E
10082,5,10,0,3,3,0,0,1,0,0,0,0,22,0.00,0,0,22,T
10083,8,11,1,3,0,0,0,1,0,0,0,0,24,0.00,0,0,24,T
10084,6,18,7,8,4,3,5,1,3,2,5,0,62,15.38,3,0,65,E
10085,17,6,6,2,12,3,3,4,0,3,0,0,56,8.62,2,0,58,T
10086,6,16,4,3,10,5,0,7,1,2,1,0,55,8.62,2,1,58,T
10087,1,5,1,2,7,2,0,3,0,0,0,0,21,0.00,0,0,21,T
10089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,57,57,E
10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10106,0,4,7,2,5,4,3,2,0,4,8,0,39,30.00,0,1,40,F
10109,0,0,4,3,2,2,0,1,0,0,0,0,12,0.00,0,0,12,T
10112,10,3,0,0,1,0,0,1,1,0,0,0,16,5.88,1,0,17,T
10113,12,9,4,3,5,9,4,0,0,0,0,0,46,0.00,0,0,46,T
10114,2,9,7,4,13,8,2,1,0,0,1,0,47,2.13,0,0,47,T
10115,0,5,8,3,9,7,3,5,2,2,0,0,44,6.67,1,0,45,T
10116,2,5,6,4,17,4,6,2,1,1,0,0,48,2.08,0,0,48,T
10117,5,5,7,7,12,5,2,4,0,0,0,0,47,2.08,1,0,48,T
10118,2,5,4,1,14,9,0,8,2,0,1,0,46,4.26,1,0,47,T
10119,3,4,0,3,5,2,0,1,0,0,3,0,21,25.00,3,0,24,T
10120,0,3,2,0,6,0,0,2,2,1,4,0,20,31.82,2,0,22,T
10121,2,3,4,0,4,1,2,1,1,1,1,0,20,18.18,2,0,22,T
10122,2,1,1,1,1,4,4,4,3,0,1,0,22,4.55,0,0,22,T
10124,0,2,1,2,1,1,5,3,4,0,1,0,20,9.09,1,1,22,T
10125,1,3,4,3,2,5,1,0,0,0,1,0,20,5.00,0,0,20,T
10128,5,2,0,1,6,0,3,1,2,0,1,0,21,9.09,1,0,22,T
10129,0,4,1,1,0,0,0,0,0,0,0,0,6,0.00,0,0,6,H
10132,1,2,1,1,5,0,0,0,0,0,0,0,10,0.00,0,0,10,T
10134,11,18,2,4,4,0,0,0,0,0,1,0,40,4.88,1,0,41,H
10140,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,6,6,H
10143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10151,6,7,6,3,5,4,3,2,1,1,5,0,43,15.56,1,1,45,T
10154,21,29,5,2,7,2,1,4,0,2,10,0,83,17.98,4,2,89,E
10159,11,11,0,5,6,0,2,8,0,4,6,0,53,23.21,3,0,56,T
10160,12,16,8,6,2,4,0,4,0,0,4,0,56,8.77,1,0,57,T
10161,1,9,1,10,7,5,0,9,0,3,1,0,46,8.70,0,0,46,T
10164,1,5,2,2,1,0,0,0,0,0,0,0,11,8.33,1,0,12,T
10180,0,12,4,0,0,0,0,0,0,0,0,0,16,0.00,0,0,16,T
10181,2,9,5,2,4,1,1,0,0,0,3,0,27,11.11,0,0,27,E
10182,2,6,5,4,2,3,1,0,0,0,3,0,26,11.11,0,1,27,T
10183,1,6,4,2,3,1,1,1,0,1,5,0,25,26.92,1,0,26,T
10184,1,3,1,4,8,0,1,1,0,1,7,0,27,29.63,0,0,27,T
10185,12,6,2,1,0,0,0,2,0,0,2,0,25,14.81,2,0,27,E
10186,0,5,7,3,5,2,0,2,0,0,1,0,25,7.41,1,1,27,E
10187,7,2,3,2,1,0,3,1,0,0,7,0,26,26.92,0,0,26,T
10188,4,8,0,0,4,0,3,1,0,1,5,0,26,23.08,0,0,26,T
10189,2,10,0,3,3,1,2,2,0,0,3,0,26,11.54,0,0,26,T
10190,2,10,4,1,4,1,1,1,0,1,2,0,27,11.11,0,0,27,T
10191,5,7,2,1,3,3,0,2,0,0,3,0,26,11.11,0,1,27,T
10192,1,9,2,1,4,1,1,2,0,0,6,0,27,22.22,0,0,27,T
10193,6,2,4,7,0,4,0,1,0,0,1,0,25,7.69,1,0,26,T
10194,7,12,3,2,1,1,0,0,0,0,1,0,27,3.70,0,0,27,T
10195,0,5,9,3,2,0,0,2,0,0,6,0,27,25.00,1,0,28,E
10196,5,10,1,3,3,1,2,0,0,0,2,0,27,7.41,0,0,27,E
10197,0,12,4,2,3,0,1,1,0,0,2,0,25,11.11,1,1,27,E
10198,2,6,5,3,3,0,0,5,0,2,0,0,26,11.11,1,0,27,T
10199,2,6,1,8,1,2,1,0,0,1,4,0,26,22.22,1,0,27,T
10200,0,3,5,3,4,1,0,4,0,2,4,0,26,22.22,0,1,27,T
10201,5,6,6,2,2,3,0,1,0,0,2,0,27,7.41,0,0,27,T
10202,2,9,0,2,11,0,1,1,0,1,0,0,27,3.70,0,0,27,T
10203,0,4,2,3,4,3,1,5,0,1,4,0,27,18.52,0,0,27,E
10204,0,3,2,3,3,3,2,2,0,0,7,0,25,28.00,0,0,25,T
10205,10,5,7,0,0,1,1,1,0,0,1,0,26,7.41,1,0,27,T
10206,7,8,1,2,0,0,0,3,0,0,5,0,26,19.23,0,0,26,T
10207,0,0,1,0,10,2,2,4,1,1,5,0,26,23.08,0,0,26,T
10208,1,3,4,4,4,5,1,1,2,0,2,0,27,7.41,0,0,27,T
10209,0,6,7,3,2,4,1,1,0,0,1,0,25,7.69,1,0,26,T
10210,8,8,2,1,2,0,0,0,0,1,3,0,25,19.23,1,0,26,T
10211,0,12,7,2,1,0,0,2,0,0,2,0,26,7.41,0,1,27,T
10212,0,1,3,3,2,3,1,5,0,1,5,0,24,33.33,3,0,27,E
10213,6,13,0,2,1,0,1,2,0,0,0,0,25,0.00,0,0,25,T
10214,5,4,4,3,4,2,2,0,0,0,3,0,27,11.11,0,0,27,T
10215,0,7,2,4,2,1,2,3,0,2,3,0,26,22.22,1,0,27,E
10216,0,4,6,1,2,4,1,5,0,0,2,0,25,7.69,0,1,26,E
10217,0,1,2,3,7,0,1,7,0,0,5,0,26,19.23,0,0,26,T
10218,0,3,9,2,1,1,0,4,0,2,3,0,25,25.93,2,0,27,E
10219,2,3,4,4,3,6,2,0,1,0,1,0,26,7.41,1,0,27,T
10220,0,3,7,1,4,2,0,2,0,4,4,0,27,29.63,0,0,27,T
10221,0,13,3,3,5,0,0,0,0,2,0,0,26,7.41,0,1,27,T
10222,1,12,5,5,2,0,1,0,0,0,0,0,26,3.70,1,0,27,T
10223,2,2,3,0,2,2,1,3,0,9,3,0,27,44.44,0,0,27,T
10224,1,1,4,4,5,1,0,2,2,0,7,0,27,25.93,0,0,27,E
10225,5,6,7,2,3,0,0,1,0,0,1,0,25,4.00,0,0,25,T
10226,6,8,0,0,2,4,1,2,0,2,1,0,26,14.81,1,0,27,E
10227,1,6,3,1,4,0,3,1,0,0,3,0,22,13.04,0,1,23,T
10228,4,11,4,0,3,0,1,0,0,1,1,0,25,11.11,1,1,27,T
10229,8,12,2,0,1,1,0,1,0,0,0,0,25,3.85,1,0,26,T
10230,14,4,2,0,0,2,0,0,1,0,3,0,26,11.54,0,0,26,E
10231,0,6,6,2,1,0,2,1,0,1,6,0,25,33.33,2,0,27,E
10232,0,5,3,7,2,2,2,4,1,0,3,0,29,18.75,3,0,32,E
10233,2,16,5,2,0,0,0,1,0,0,3,0,29,10.00,0,1,30,T
10234,4,24,0,0,0,0,0,0,0,0,0,0,28,3.33,1,1,30,E
10236,3,13,0,2,5,0,1,1,0,1,2,0,28,16.67,2,0,30,T
10237,1,15,5,0,0,0,0,0,0,0,0,0,21,8.33,2,1,24,T
10239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,47,47,H
10240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,53,53,H
10241,1,2,4,4,3,5,2,1,5,8,7,0,42,38.64,2,0,44,T
10242,0,3,6,3,9,3,6,9,3,2,1,0,45,6.67,0,0,45,T
10243,1,4,3,6,7,7,4,8,4,1,0,0,45,2.22,0,0,45,T
10244,4,14,4,16,25,3,7,16,9,2,4,0,104,14.04,10,0,114,F
10245,3,5,2,4,8,4,1,3,1,5,5,1,42,31.11,3,0,45,T
10246,1,3,4,5,1,5,7,5,1,3,5,0,40,28.89,5,0,45,T
10247,5,4,4,3,3,5,0,5,0,2,5,0,36,30.95,6,0,42,T
10248,0,4,1,4,3,2,1,0,1,0,0,0,16,5.88,1,0,17,T
10249,0,5,2,1,17,3,2,1,6,0,1,0,38,5.13,1,0,39,T
10252,5,4,5,4,1,3,1,1,0,0,1,0,25,11.11,2,0,27,T
10253,0,1,6,2,1,0,0,0,0,0,0,0,10,8.33,1,1,12,T
10255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,16,16,H
10256,0,35,2,5,5,3,0,3,0,0,3,0,56,11.67,4,0,60,E
10257,6,20,10,5,10,4,3,7,2,4,2,0,73,10.67,2,0,75,E
10258,8,11,8,3,4,1,4,3,2,6,4,0,54,22.41,3,1,58,E
10270,1,4,4,1,4,2,1,5,0,1,4,0,27,17.24,0,2,29,T
10272,12,35,17,5,0,0,0,1,0,0,0,0,70,1.41,1,0,71,H
10273,7,21,19,6,6,6,0,0,0,0,0,0,65,0.00,0,2,67,H
10277,1,2,2,6,7,1,1,1,0,0,0,0,21,4.17,1,2,24,T
10278,1,7,12,6,4,7,1,3,2,2,1,0,46,8.33,1,1,48,T
10279,0,1,1,5,1,1,3,2,4,0,0,0,18,0.00,0,0,18,T
10281,0,2,6,8,6,6,1,0,3,0,0,0,32,0.00,0,0,32,T
10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,20,20,T
10283,1,7,15,29,14,3,2,5,1,7,8,0,92,18.18,3,4,99,E
10286,4,15,6,2,3,0,0,5,1,1,6,0,43,20.00,2,0,45,T
10287,3,12,8,3,8,1,0,3,0,2,4,0,44,15.56,1,0,45,T
10288,5,13,16,4,8,10,4,4,8,8,14,0,94,26.53,4,0,98,E
10289,1,27,28,10,9,4,2,4,2,7,0,0,94,11.88,5,2,101,E
10291,31,43,8,5,3,0,0,1,1,2,4,0,98,7.07,1,0,99,E
10292,3,23,15,7,7,11,3,7,5,3,11,0,95,17.17,3,1,99,E
10294,10,50,16,9,3,3,0,0,1,0,6,0,98,8.00,2,0,100,E
10295,1,2,5,4,8,7,4,11,7,12,24,0,85,44.21,6,4,95,E
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,39,39,H
10305,2,3,0,0,1,0,0,0,0,0,0,0,6,14.29,1,0,7,T
10310,0,1,0,0,2,3,1,4,0,4,2,0,17,45.00,3,0,20,E
10311,2,1,1,1,2,1,4,4,0,1,3,0,20,20.00,0,0,20,H
10314,1,8,2,3,5,5,2,1,0,0,0,0,27,0.00,0,0,27,H
10317,3,0,0,1,2,0,0,2,0,0,1,0,9,11.11,0,0,9,H
10320,1,1,1,3,3,1,1,3,0,6,12,0,32,59.46,4,1,37,T
10321,2,1,1,1,1,2,1,10,0,4,11,0,34,46.15,3,2,39,T
10322,2,1,2,3,6,1,1,5,0,3,8,0,32,43.59,6,1,39,T
10323,6,3,5,0,3,1,3,2,0,6,3,0,32,42.50,8,0,40,T
10324,2,7,1,1,2,2,0,6,0,4,5,0,30,40.00,7,3,40,T
10325,0,2,0,4,3,1,2,6,0,3,7,0,28,52.63,10,0,38,T
10326,11,9,11,8,14,8,10,19,0,5,7,0,102,17.36,9,10,121,E
10328,1,6,9,4,2,2,0,3,0,1,0,0,28,10.00,2,0,30,T
10330,1,0,0,1,1,1,1,1,0,0,0,0,6,0.00,0,0,6,E
10335,14,11,9,7,9,5,3,0,0,0,2,0,60,3.33,0,0,60,T
10336,2,12,7,12,15,1,3,1,0,4,1,0,58,11.67,2,0,60,T
10337,14,10,11,4,4,3,3,3,1,0,2,0,55,10.17,4,0,59,F
10338,4,12,11,4,7,2,1,0,2,1,1,0,45,8.51,2,0,47,T
10339,7,11,4,5,7,4,1,1,3,0,0,0,43,2.22,1,1,45,T
10340,0,2,3,2,4,5,3,12,4,3,5,0,43,22.22,2,0,45,T
10342,0,0,5,4,8,6,1,2,4,3,2,0,35,21.05,3,0,38,T
10344,1,5,1,10,4,0,1,2,0,0,0,0,24,0.00,0,0,24,T
10347,2,6,0,0,2,0,0,0,0,0,2,0,12,16.67,0,0,12,H
10348,3,0,1,4,3,4,3,2,6,1,0,0,27,7.14,1,0,28,T
10349,2,1,1,6,2,0,0,0,0,0,2,0,14,20.00,1,0,15,H
10350,16,27,10,4,6,3,3,4,2,8,14,0,97,25.96,5,2,104,E
10351,3,4,0,3,0,0,0,0,0,0,0,0,10,9.09,1,0,11,T
10352,6,0,0,0,0,0,0,0,0,1,1,0,8,33.33,1,0,9,T
10353,29,33,8,10,7,0,1,3,0,1,14,0,106,16.36,3,1,110,E
10354,61,7,1,7,6,0,0,0,2,0,7,0,91,18.69,13,3,107,E
10355,0,16,0,0,0,0,0,0,0,0,0,0,16,5.88,1,0,17,T
10356,2,9,0,3,0,0,0,1,0,0,0,0,15,0.00,0,0,15,T
10357,0,24,1,0,1,0,0,0,0,0,0,0,26,3.70,1,0,27,T
10358,0,6,0,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,T
10359,0,2,3,3,3,2,1,0,0,0,0,0,14,0.00,0,0,14,T
10360,4,1,2,1,0,0,1,1,0,0,1,0,11,16.67,1,0,12,T
10361,0,0,1,0,1,0,1,0,1,0,3,0,7,55.56,2,0,9,T
10362,2,1,1,2,0,2,1,2,0,0,1,0,12,8.33,0,0,12,T
10363,2,3,1,4,1,0,0,1,0,0,0,0,12,0.00,0,0,12,T
10364,2,2,2,3,0,0,0,3,0,0,0,0,12,0.00,0,0,12,T
10365,2,2,1,3,4,3,0,1,1,0,0,0,17,10.53,2,0,19,T
10366,1,0,0,1,0,1,0,1,0,1,1,0,6,42.86,1,0,7,T
10367,0,2,5,1,0,1,1,1,1,0,0,0,12,0.00,0,0,12,T
10368,1,0,0,3,3,1,1,0,0,1,1,0,11,25.00,1,0,12,T
10371,0,18,2,0,0,0,0,0,0,0,0,0,20,4.76,1,0,21,T
10372,3,8,0,0,1,0,0,0,0,0,0,0,12,0.00,0,0,12,T
10373,0,17,0,0,0,1,0,0,0,0,0,0,18,0.00,0,0,18,T
10374,0,9,0,0,0,0,0,0,0,0,0,0,9,0.00,0,0,9,T
10379,0,9,6,0,0,0,0,0,0,0,1,0,16,6.25,0,0,16,T
10382,0,9,0,0,0,0,0,0,0,0,0,0,9,0.00,0,0,9,T
10383,0,2,2,1,1,1,2,1,0,0,2,0,12,28.57,2,0,14,T
10384,0,9,0,0,4,0,0,1,0,0,0,0,14,22.22,4,0,18,E
10385,0,16,0,0,0,0,0,0,0,0,1,0,17,11.11,1,0,18,E
10386,4,4,5,5,2,0,0,0,0,0,0,0,20,0.00,0,0,20,T
10390,0,13,0,0,0,0,0,0,0,0,0,0,13,0.00,0,0,13,T
10391,6,2,0,0,0,0,0,0,0,0,0,0,8,11.11,1,0,9,T
10392,0,22,0,0,0,0,0,0,0,0,0,0,22,0.00,0,0,22,T
10393,0,7,0,0,0,0,0,0,0,0,0,0,7,0.00,0,0,7,T
10407,10,37,0,17,6,0,0,1,0,0,3,0,74,7.79,3,0,77,E
10408,0,15,0,16,19,0,11,1,0,9,0,0,71,12.68,0,0,71,T
10409,0,10,0,17,4,0,0,0,0,1,0,0,32,3.13,0,0,32,T
10411,17,33,0,12,2,0,0,0,0,0,0,0,64,0.00,0,0,64,T
10412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,69,69,F
10413,19,0,0,0,0,0,0,0,0,0,0,0,19,0.00,0,0,19,F
10419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10423,31,19,16,13,9,5,2,2,1,2,13,0,113,17.65,6,0,119,E
10424,2,8,5,5,6,8,3,3,1,0,12,0,53,25.00,3,4,60,T
10425,0,3,5,4,4,3,2,1,2,2,3,0,29,20.00,1,0,30,T
10426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,41,41,H
10428,7,0,2,1,4,1,0,1,2,0,3,0,21,25.00,3,0,24,T
10430,4,2,6,0,2,2,2,2,0,0,0,0,20,4.76,1,0,21,T
10431,3,1,2,1,1,1,0,1,0,0,1,0,11,9.09,0,0,11,T
10432,7,9,4,1,0,0,1,1,1,0,0,0,24,0.00,0,0,24,T
10433,12,2,2,5,0,1,0,1,0,0,1,0,24,4.17,0,0,24,T
10434,1,1,2,1,2,0,0,0,3,0,0,0,10,16.67,2,0,12,T
10435,2,4,1,1,7,3,0,2,3,0,0,0,23,4.17,1,0,24,T
10436,0,5,0,2,4,2,0,2,2,0,1,0,18,10.53,1,0,19,T
10438,3,6,4,3,4,1,1,1,0,0,0,0,23,4.17,1,0,24,T
10439,0,8,4,3,2,1,4,0,1,0,0,0,23,4.17,1,0,24,T
10440,2,0,4,2,0,1,0,0,1,0,0,0,10,9.09,1,0,11,T
10441,2,3,3,0,1,1,2,2,0,0,0,0,14,16.67,3,1,18,T
10442,2,1,0,2,3,2,1,0,1,0,0,0,12,0.00,0,0,12,T
10449,9,18,10,15,7,9,7,8,2,12,19,0,116,29.17,4,0,120,T
10450,21,8,4,2,8,2,0,2,1,5,6,0,59,21.31,2,0,61,T
10451,5,11,14,9,20,7,6,7,3,9,23,0,114,30.33,5,3,122,E
10452,2,11,8,10,13,11,6,8,7,9,23,0,108,29.17,3,9,120,E
10453,5,7,6,6,11,3,3,4,1,5,5,0,56,23.33,4,0,60,T
10454,5,17,13,13,20,7,4,9,4,11,19,0,122,25.81,2,0,124,E
10455,18,17,5,8,9,6,1,9,0,6,16,0,95,28.85,8,1,104,E
10456,18,17,11,6,8,5,3,4,5,6,15,0,98,25.96,6,0,104,E
10457,2,10,4,4,2,4,3,4,0,0,3,0,36,13.16,2,0,38,T
10459,0,5,1,0,0,0,0,0,0,0,0,0,6,0.00,0,0,6,H
10465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,10,10,H
10466,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,1,26,27,H
10467,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50,1,39,40,H
10470,19,10,10,7,19,8,7,8,4,8,15,0,115,19.83,0,1,116,T
10471,3,6,9,12,14,20,8,17,5,4,15,0,113,18.64,3,2,118,E
10472,13,24,9,14,15,9,5,11,2,5,13,0,120,15.70,1,0,121,T
10475,38,7,8,5,5,1,1,1,1,1,2,0,70,6.85,2,1,73,E
10476,22,26,10,3,2,3,0,1,0,1,4,0,72,8.22,1,0,73,E
10477,0,6,4,4,8,7,3,3,4,2,2,0,43,15.22,3,0,46,T
10480,12,19,15,7,2,6,0,3,1,5,4,0,74,12.16,0,0,74,T
10482,5,7,12,8,6,4,3,3,0,5,1,0,54,13.79,2,2,58,T
10483,13,30,9,2,0,0,1,0,0,0,0,0,55,0.00,0,5,60,E
10484,17,11,4,3,0,2,1,2,1,3,3,0,47,14.58,1,0,48,E
10486,1,4,7,2,5,4,3,1,0,3,6,0,36,28.95,2,0,38,T
10487,16,6,6,4,1,3,2,4,1,1,4,0,48,10.42,0,0,48,E
10488,4,5,7,12,2,7,2,1,1,0,4,0,45,12.77,2,0,47,T
10489,1,7,3,1,5,0,4,4,1,1,0,0,27,3.70,0,0,27,T
10490,16,1,5,3,7,3,4,1,3,3,2,0,48,10.42,0,0,48,T
10491,5,9,5,3,7,6,2,5,2,3,1,0,48,8.33,0,0,48,T
10492,15,11,11,3,1,2,0,1,0,0,0,0,44,2.22,1,0,45,E
10493,3,10,9,4,11,3,3,2,1,0,6,0,52,11.11,0,2,54,E
10494,10,20,4,2,6,0,4,2,1,0,2,0,51,5.77,1,0,52,E
10495,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,1,11,12,H
10500,0,12,0,0,5,0,0,0,0,0,0,0,17,0.00,0,0,17,T
10501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,38,38,H
10508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,11,11,H
10511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,17,17,H
10512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,33,33,H
10516,0,13,0,0,24,0,0,2,0,0,0,0,39,0.00,0,0,39,T
10517,0,5,0,0,27,0,0,4,0,3,0,0,39,7.69,0,0,39,T
10518,0,5,0,0,5,0,0,0,0,0,0,0,10,0.00,0,1,11,T
10519,0,2,0,0,10,0,0,0,0,0,0,0,12,0.00,0,0,12,T
10520,0,7,0,0,5,0,0,0,0,0,0,0,12,0.00,0,0,12,T
10522,0,6,0,0,22,0,0,11,0,0,0,0,39,0.00,0,0,39,T
10523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,38,38,T
10524,0,38,0,0,0,0,0,0,0,0,0,0,38,2.56,1,0,39,T
10525,0,36,0,0,2,0,0,0,0,0,0,0,38,0.00,0,0,38,T
10528,0,12,0,0,0,0,0,0,0,0,0,0,12,0.00,0,0,12,H
10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,17,17,H
10534,5,9,5,1,6,4,4,1,2,0,7,0,44,17.39,1,1,46,T
10535,6,16,8,1,2,2,1,0,1,2,8,0,47,21.28,0,0,47,T
10536,2,2,3,2,3,0,0,3,1,3,4,0,23,34.62,2,1,26,T
10537,5,5,0,2,2,0,0,0,2,0,2,0,18,11.11,0,0,18,H
10541,0,10,5,2,3,0,2,2,0,0,3,0,27,16.67,2,1,30,E
10542,0,3,1,3,5,0,1,1,2,0,8,0,24,41.38,4,1,29,E
10543,2,2,2,2,3,2,0,3,2,1,7,0,26,37.93,3,0,29,E
10544,2,1,3,1,1,2,3,1,2,3,6,0,25,40.00,3,2,30,E
10545,0,1,4,3,3,0,0,4,1,1,0,0,17,11.11,1,0,18,T
10546,2,1,2,1,5,2,2,1,1,1,4,0,22,39.29,6,0,28,E
10547,0,3,4,4,2,2,7,2,2,1,3,0,30,13.33,0,0,30,E
10548,1,4,1,3,4,3,2,2,2,1,2,0,25,24.14,4,0,29,E
10549,0,1,1,1,1,0,0,1,0,0,1,0,6,12.50,0,2,8,T
10551,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,11,11,H
10556,66,27,3,2,7,2,4,3,0,3,9,0,126,11.63,3,0,129,E
10557,10,6,0,1,0,0,0,0,0,0,0,0,17,0.00,0,0,17,T
10558,4,12,3,0,0,0,0,0,0,0,0,0,19,0.00,0,0,19,T
10559,6,8,0,0,1,1,0,0,0,0,0,0,16,0.00,0,0,16,T
10562,3,7,4,1,0,0,0,0,0,0,0,0,15,0.00,0,0,15,E
10563,8,4,2,1,0,0,0,0,0,0,0,0,15,0.00,0,0,15,E
10564,8,8,0,1,0,0,0,0,0,0,0,0,17,0.00,0,0,17,E
10572,0,0,2,2,1,1,0,0,0,0,0,0,6,0.00,0,0,6,H
10573,2,4,1,3,1,0,0,1,0,0,0,0,12,0.00,0,0,12,T
10574,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,33,33,T
10575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,30,30,T
10576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,26,26,H
10578,0,1,5,5,1,0,3,1,0,0,0,0,16,0.00,0,0,16,H
10579,2,3,1,2,3,0,1,0,0,0,0,0,12,0.00,0,0,12,T
10580,1,8,28,7,14,16,2,3,5,4,0,0,88,5.62,1,0,89,T
10581,8,11,15,10,7,13,5,9,5,2,3,0,88,6.74,1,0,89,T
10583,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,15,15,H
10587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,14,14,H
10590,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,7,7,H
10593,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,23,23,H
10603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,13,13,H
10606,3,9,15,18,14,15,5,2,6,1,1,0,89,3.33,1,0,90,H
10608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,12,12,H
10609,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,1,19,20,H
10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,14,14,H
