year_fall,term_fall,crn_fall,professor,course,gpa_fall,n_students_fall,instruction_method_fall,course_modality_fall,As_fall,Bs_fall,Cs_fall,Ds_fall,Fs_fall,withdrawal_while_failing_fall,As_through_WFs_fall,DWFs_fall,other_fall,A_plus_fall,A_regular_fall,A_minus_fall,B_plus_fall,B_regular_fall,B_minus_fall,C_plus_fall,C_regular_fall,C_minus_fall,D_regular_fall,F_regular_fall,term_year_fall,term_year_ordered_fall,course_prefix_fall,course_pnbr_fall,course_level_fall,year_spring,term_spring,crn_spring,gpa_spring,n_students_spring,instruction_method_spring,course_modality_spring,As_spring,Bs_spring,Cs_spring,Ds_spring,Fs_spring,withdrawal_while_failing_spring,As_through_WFs_spring,DWFs_spring,other_spring,A_plus_spring,A_regular_spring,A_minus_spring,B_plus_spring,B_regular_spring,B_minus_spring,C_plus_spring,C_regular_spring,C_minus_spring,D_regular_spring,F_regular_spring,term_year_spring,term_year_ordered_spring,course_prefix_spring,course_pnbr_spring,course_level_spring,diff,academic_year,course_modality,course_level
2019,Fall,80001,"Moore, Robert",ECON 2100,3.86,14,T,Face-to-Face,11,2,1,0,0,0,14,0,0,7,4,0,1,0,1,0,0,1,0,0,Fall 2019,5,ECON ,2100,Undergraduate,2020,Spring,21971,4.11,10,T,Face-to-Face,8,1,0,0,0,0,9,10,0,5,3,0,1,0,0,0,0,0,0,0,Spring 2020,6,ECON ,2100,Undergraduate,0.25000000000000044,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80046,"Tolley, Michael",ART 1010,3.14,22,T,Face-to-Face,13,2,5,1,1,0,22,9.1,0,2,8,3,0,2,0,0,5,0,1,1,Fall 2019,5,ART ,1010,Undergraduate,2020,Spring,21045,2.9,21,T,Face-to-Face,12,1,3,0,4,0,20,19.1,1,5,6,1,0,1,0,1,1,1,0,4,Spring 2020,6,ART ,1010,Undergraduate,-0.2400000000000002,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80047,"Wilson, Jiha",ART 1010,3.29,22,T,Face-to-Face,10,10,0,0,1,0,21,9.1,0,0,3,7,6,3,1,0,0,0,0,1,Fall 2019,5,ART ,1010,Undergraduate,2020,Spring,11628,3.15,20,T,Face-to-Face,6,11,3,0,0,0,20,0,0,0,1,5,7,2,2,2,0,1,0,0,Spring 2020,6,ART ,1010,Undergraduate,-0.14000000000000012,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80048,"Camoosa, Joseph",ART 1010,3.85,17,T,Face-to-Face,10,3,0,0,0,0,13,11.8,2,2,8,0,1,1,1,0,0,0,0,0,Fall 2019,5,ART ,1010,Undergraduate,2020,Spring,15439,3.89,20,T,Face-to-Face,15,3,0,0,0,0,18,10,0,2,12,1,3,0,0,0,0,0,0,0,Spring 2020,6,ART ,1010,Undergraduate,0.040000000000000036,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80049,"Kroeppler, Karl",ART 1020,2.76,18,T,Face-to-Face,4,7,4,2,0,0,17,16.7,0,0,2,2,4,0,3,2,2,0,2,0,Fall 2019,5,ART ,1020,Undergraduate,2020,Spring,13067,3.38,18,T,Face-to-Face,12,2,0,0,2,0,16,22.2,0,0,12,0,0,2,0,0,0,0,0,2,Spring 2020,6,ART ,1020,Undergraduate,0.6200000000000001,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80050,"Sturgess, Robert",ART 1030,2.5,16,T,Face-to-Face,3,5,7,0,1,0,16,6.3,0,0,2,1,2,0,3,3,1,3,0,1,Fall 2019,5,ART ,1030,Undergraduate,2020,Spring,11634,3.6,17,T,Face-to-Face,10,5,0,0,0,0,15,5.9,1,1,3,6,1,3,1,0,0,0,0,0,Spring 2020,6,ART ,1030,Undergraduate,1.1,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80052,"McGimsey, Ben",ASTR 1000,2.29,62,T,Face-to-Face,15,12,16,6,9,0,58,27.4,2,2,8,5,3,4,5,5,8,3,6,9,Fall 2019,5,ASTR ,1000,Undergraduate,2020,Spring,11711,2.6,95,T,Face-to-Face,30,24,14,5,12,0,85,28.4,0,1,12,17,6,14,4,4,8,2,5,12,Spring 2020,6,ASTR ,1000,Undergraduate,0.31000000000000005,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80052,"McGimsey, Ben",ASTR 1000,2.29,62,T,Face-to-Face,15,12,16,6,9,0,58,27.4,2,2,8,5,3,4,5,5,8,3,6,9,Fall 2019,5,ASTR ,1000,Undergraduate,2020,Spring,17230,3.37,62,T,Face-to-Face,33,21,4,0,2,0,60,6.5,0,5,16,12,7,11,3,2,1,1,0,2,Spring 2020,6,ASTR ,1000,Undergraduate,1.08,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80057,"Beirne, Mark",BIOL 2300,2.86,115,T,Face-to-Face,19,48,28,2,1,0,98,16.5,1,2,13,4,9,18,21,22,5,1,2,1,Fall 2019,5,BIOL ,2300,Undergraduate,2020,Spring,17699,2.71,100,T,Face-to-Face,13,30,42,1,0,0,86,15,0,1,9,3,6,13,11,28,12,2,1,0,Spring 2020,6,BIOL ,2300,Undergraduate,-0.1499999999999999,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80058,"Song, Chi-Sun",BIOL 3800,2.47,35,H,Hybrid,10,4,11,4,3,0,32,28.6,0,3,5,2,0,3,1,3,8,0,4,3,Fall 2019,5,BIOL ,3800,Undergraduate,2020,Spring,22674,2.75,58,H,Hybrid,9,20,20,2,0,0,51,15.5,0,2,4,3,5,14,1,5,13,2,2,0,Spring 2020,6,BIOL ,3800,Undergraduate,0.2799999999999998,2019-2020,Hybrid,Undergraduate
2019,Fall,80058,"Song, Chi-Sun",BIOL 3800,2.47,35,H,Hybrid,10,4,11,4,3,0,32,28.6,0,3,5,2,0,3,1,3,8,0,4,3,Fall 2019,5,BIOL ,3800,Undergraduate,2020,Spring,22676,2.42,37,H,Hybrid,5,6,12,2,1,0,26,32.4,2,0,2,3,1,4,1,3,6,3,2,1,Spring 2020,6,BIOL ,3800,Undergraduate,-0.050000000000000266,2019-2020,Hybrid,Undergraduate
2019,Fall,80059,"Sitvarin, Michael",BIOL 3810,3.48,23,T,Face-to-Face,14,5,0,2,0,0,21,17.4,0,2,11,1,0,4,1,0,0,0,2,0,Fall 2019,5,BIOL ,3810,Undergraduate,2020,Spring,12052,3.45,24,T,Face-to-Face,13,7,1,1,0,0,22,12.5,0,0,9,4,4,2,1,0,1,0,1,0,Spring 2020,6,BIOL ,3810,Undergraduate,-0.029999999999999805,2019-2020,Face-to-Face,Undergraduate
2019,Fall,80060,"Nusnbaum, Matthew",BIOL 3840,2.55,58,H,Hybrid,10,22,11,8,2,0,53,24.1,1,1,5,4,3,14,5,3,7,1,8,2,Fall 2019,5,BIOL ,3840,Undergraduate,2020,Spring,12049,2.65,49,H,Hybrid,6,16,8,1,3,0,34,38.8,0,0,3,3,5,9,2,3,5,0,1,3,Spring 2020,6,BIOL ,3840,Undergraduate,0.10000000000000009,2019-2020,Hybrid,Undergraduate
