year_fall,term_fall,crn_fall,professor,course,gpa_fall,n_students_fall,instruction_method_fall,As_fall,Bs_fall,Cs_fall,Ds_fall,Fs_fall,withdrawal_while_failing_fall,As_through_WFs_fall,DWFs_fall,other_fall,A_plus_fall,A_regular_fall,A_minus_fall,B_plus_fall,B_regular_fall,B_minus_fall,C_plus_fall,C_regular_fall,C_minus_fall,D_regular_fall,F_regular_fall,year_spring,term_spring,crn_spring,gpa_spring,n_students_spring,instruction_method_spring,As_spring,Bs_spring,Cs_spring,Ds_spring,Fs_spring,withdrawal_while_failing_spring,As_through_WFs_spring,DWFs_spring,other_spring,A_plus_spring,A_regular_spring,A_minus_spring,B_plus_spring,B_regular_spring,B_minus_spring,C_plus_spring,C_regular_spring,C_minus_spring,D_regular_spring,F_regular_spring,diff
2019,Spring,10001,"Kyles, Tarell",AAS 2010,3.78,60,T,50,5,0,0,0,0,55,8.3,0,4,13,33,4,1,0,0,0,0,0,0,2020,Spring,10003,2.41,45,T,7,12,7,11,0,0,37,42.2,0,0,2,5,4,4,4,6,0,1,11,0,-1.3699999999999997
2019,Spring,10009,"Potts, Casey",ACCT 2102,2.46,331,T,48,97,129,29,10,0,313,16.9,1,7,23,18,20,53,24,51,45,33,29,10,2020,Spring,10007,3.04,334,T,101,138,70,4,4,0,317,7.2,1,12,45,44,42,65,31,39,21,10,4,4,0.5800000000000001
2019,Spring,10009,"Potts, Casey",ACCT 2102,2.46,331,T,48,97,129,29,10,0,313,16.9,1,7,23,18,20,53,24,51,45,33,29,10,2020,Spring,19805,2.96,330,T,98,123,68,8,10,0,307,11.8,2,13,45,40,31,63,29,42,18,8,8,10,0.5
2019,Spring,10015,"Clark, Kris",ACCT 4391,4.08,14,T,12,1,0,0,0,0,13,7.1,0,6,4,2,1,0,0,0,0,0,0,0,2020,Spring,10011,3.64,11,T,9,1,0,0,1,0,11,9.1,0,3,6,0,1,0,0,0,0,0,0,1,-0.43999999999999995
2019,Spring,10018,"Clark, Kris",ACCT 8391,3.7,10,T,7,3,0,0,0,0,10,0,0,2,3,2,1,2,0,0,0,0,0,0,2020,Spring,10013,4.13,8,T,8,0,0,0,0,0,8,0,0,3,4,1,0,0,0,0,0,0,0,0,0.4299999999999997
2019,Spring,10028,"Turner-Livermore, Bethany",ANTH 1102,3.41,66,T,38,17,4,1,4,0,64,10.6,0,23,5,10,10,4,3,1,2,1,1,4,2020,Spring,10022,3.86,68,T,53,8,2,0,2,0,65,7.4,0,36,14,3,3,4,1,2,0,0,0,2,0.44999999999999973
2019,Spring,10028,"Turner-Livermore, Bethany",ANTH 1102,3.41,66,T,38,17,4,1,4,0,64,10.6,0,23,5,10,10,4,3,1,2,1,1,4,2020,Spring,18291,4.25,8,T,8,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0.8399999999999999
2019,Spring,10029,"Papavasiliou, Faidra",ANTH 2020,3.46,65,T,38,14,11,0,0,0,63,1.5,1,9,23,6,4,9,1,1,9,1,0,0,2020,Spring,10023,3.4,67,T,30,24,7,1,0,0,62,7.5,1,9,16,5,12,8,4,3,2,2,1,0,-0.06000000000000005
2019,Spring,10029,"Papavasiliou, Faidra",ANTH 2020,3.46,65,T,38,14,11,0,0,0,63,1.5,1,9,23,6,4,9,1,1,9,1,0,0,2020,Spring,13901,4.17,7,T,6,0,0,0,0,0,6,14.3,0,2,4,0,0,0,0,0,0,0,0,0,0.71
2019,Spring,10029,"Papavasiliou, Faidra",ANTH 2020,3.46,65,T,38,14,11,0,0,0,63,1.5,1,9,23,6,4,9,1,1,9,1,0,0,2020,Spring,20449,3.29,35,T,12,16,6,0,0,0,34,2.9,0,5,4,3,8,5,3,6,0,0,0,0,-0.16999999999999993
2019,Spring,10082,"Cross, Marcia",BCOM 3950,3.29,24,T,12,5,4,0,0,0,21,8.3,1,1,5,6,2,2,1,0,2,2,0,0,2020,Spring,10075,3.74,28,T,20,6,1,0,0,0,27,0,1,8,6,6,3,2,1,0,0,1,0,0,0.4500000000000002
2019,Spring,10082,"Cross, Marcia",BCOM 3950,3.29,24,T,12,5,4,0,0,0,21,8.3,1,1,5,6,2,2,1,0,2,2,0,0,2020,Spring,10079,3.43,29,T,16,9,2,0,1,0,28,6.9,0,2,11,3,6,2,1,0,1,1,0,1,0.14000000000000012
2019,Spring,10082,"Cross, Marcia",BCOM 3950,3.29,24,T,12,5,4,0,0,0,21,8.3,1,1,5,6,2,2,1,0,2,2,0,0,2020,Spring,12157,3.64,28,T,20,7,1,0,0,0,28,0,0,3,10,7,3,2,2,0,0,1,0,0,0.3500000000000001
2019,Spring,10083,"Sandmeier, Miglena",BCOM 3950,3.71,28,T,25,0,1,0,2,0,28,7.1,0,14,6,5,0,0,0,0,0,1,0,2,2020,Spring,10076,3.89,29,T,23,5,0,0,0,0,28,3.5,0,7,13,3,4,1,0,0,0,0,0,0,0.18000000000000016
2019,Spring,10083,"Sandmeier, Miglena",BCOM 3950,3.71,28,T,25,0,1,0,2,0,28,7.1,0,14,6,5,0,0,0,0,0,1,0,2,2020,Spring,12168,4.03,30,T,28,0,1,0,0,0,29,3.3,0,9,18,1,0,0,0,1,0,0,0,0,0.3200000000000003
2019,Spring,10084,"Costello, Jan",BCOM 3950,2.96,27,T,5,16,5,0,0,0,26,3.7,0,0,3,2,3,9,4,1,4,0,0,0,2020,Spring,10077,3.29,28,T,10,12,2,0,0,0,24,10.7,1,1,4,5,4,5,3,1,0,1,0,0,0.33000000000000007
2019,Spring,10084,"Costello, Jan",BCOM 3950,2.96,27,T,5,16,5,0,0,0,26,3.7,0,0,3,2,3,9,4,1,4,0,0,0,2020,Spring,10080,2.75,27,T,3,12,8,0,1,0,24,14.8,0,0,2,1,7,4,1,4,3,1,0,1,-0.20999999999999996
2019,Spring,10084,"Costello, Jan",BCOM 3950,2.96,27,T,5,16,5,0,0,0,26,3.7,0,0,3,2,3,9,4,1,4,0,0,0,2020,Spring,11364,2.81,28,T,5,14,6,2,0,0,27,10.7,0,1,0,4,6,3,5,2,3,1,2,0,-0.1499999999999999
2019,Spring,10085,"Pearson, Nicole",BCOM 3950,2.71,27,T,6,9,7,1,1,0,24,18.5,0,4,1,1,1,3,5,2,2,3,1,1,2020,Spring,10083,3.88,28,T,20,4,1,0,0,0,25,7.1,1,10,9,1,1,2,1,0,1,0,0,0,1.17
2019,Spring,10086,"Cross, Marcia",BCOM 3950,2.96,29,T,7,14,5,0,1,0,27,6.9,1,1,3,3,4,6,4,2,2,1,0,1,2020,Spring,10075,3.74,28,T,20,6,1,0,0,0,27,0,1,8,6,6,3,2,1,0,0,1,0,0,0.7800000000000002
2019,Spring,10086,"Cross, Marcia",BCOM 3950,2.96,29,T,7,14,5,0,1,0,27,6.9,1,1,3,3,4,6,4,2,2,1,0,1,2020,Spring,10079,3.43,29,T,16,9,2,0,1,0,28,6.9,0,2,11,3,6,2,1,0,1,1,0,1,0.4700000000000002
2019,Spring,10086,"Cross, Marcia",BCOM 3950,2.96,29,T,7,14,5,0,1,0,27,6.9,1,1,3,3,4,6,4,2,2,1,0,1,2020,Spring,12157,3.64,28,T,20,7,1,0,0,0,28,0,0,3,10,7,3,2,2,0,0,1,0,0,0.6800000000000002
2019,Spring,10087,"Nelson, Veatrice",BCOM 3950,3,29,T,11,7,8,0,1,0,27,10.3,0,1,4,6,2,5,0,4,3,1,0,1,2020,Spring,10082,3.25,28,T,17,6,3,1,1,0,28,7.1,0,0,7,10,3,2,1,1,2,0,1,1,0.25
2019,Spring,10088,"Mcgowan, Andrew",BCOM 3950,3.07,29,T,9,14,4,1,0,0,28,6.9,0,0,4,5,4,8,2,1,2,1,1,0,2020,Spring,11568,2.96,30,T,7,14,2,1,1,0,25,16.7,2,0,1,6,4,7,3,1,1,0,1,1,-0.10999999999999988
2019,Spring,10088,"Mcgowan, Andrew",BCOM 3950,3.07,29,T,9,14,4,1,0,0,28,6.9,0,0,4,5,4,8,2,1,2,1,1,0,2020,Spring,13332,3.19,28,T,15,6,3,1,1,0,26,14.3,0,0,4,11,2,3,1,2,1,0,1,1,0.1200000000000001
2019,Spring,10089,"Costello, Jan",BCOM 3950,2.5,25,T,3,11,7,2,0,1,24,16,0,0,1,2,2,5,4,2,2,3,2,0,2020,Spring,10077,3.29,28,T,10,12,2,0,0,0,24,10.7,1,1,4,5,4,5,3,1,0,1,0,0,0.79
2019,Spring,10089,"Costello, Jan",BCOM 3950,2.5,25,T,3,11,7,2,0,1,24,16,0,0,1,2,2,5,4,2,2,3,2,0,2020,Spring,10080,2.75,27,T,3,12,8,0,1,0,24,14.8,0,0,2,1,7,4,1,4,3,1,0,1,0.25
2019,Spring,10089,"Costello, Jan",BCOM 3950,2.5,25,T,3,11,7,2,0,1,24,16,0,0,1,2,2,5,4,2,2,3,2,0,2020,Spring,11364,2.81,28,T,5,14,6,2,0,0,27,10.7,0,1,0,4,6,3,5,2,3,1,2,0,0.31000000000000005
2019,Spring,10091,"Guthrie, Kenneth",BCOM 3950,3.29,27,T,11,7,3,0,0,0,21,22.2,0,0,3,8,2,2,3,2,0,1,0,0,2020,Spring,10078,3.17,28,T,8,7,2,1,0,0,18,39.3,0,0,2,6,2,4,1,1,0,1,1,0,-0.1200000000000001
2019,Spring,10091,"Guthrie, Kenneth",BCOM 3950,3.29,27,T,11,7,3,0,0,0,21,22.2,0,0,3,8,2,2,3,2,0,1,0,0,2020,Spring,10084,2.68,27,T,1,13,8,0,0,0,22,18.5,0,0,0,1,3,5,5,5,1,2,0,0,-0.6099999999999999
2019,Spring,10091,"Guthrie, Kenneth",BCOM 3950,3.29,27,T,11,7,3,0,0,0,21,22.2,0,0,3,8,2,2,3,2,0,1,0,0,2020,Spring,13429,2.27,28,T,3,10,4,1,4,0,22,39.3,0,0,0,3,4,4,2,1,1,2,1,4,-1.02
2019,Spring,10092,"Zellars, Malcolm",BIOL 2300,1.89,104,T,7,22,31,11,18,0,89,42.3,0,0,6,1,1,16,5,10,20,1,11,18,2020,Spring,13926,3.26,99,T,44,27,12,1,3,0,87,16.2,0,9,23,12,12,12,3,2,9,1,1,3,1.3699999999999999
2019,Spring,10094,"Poole, Therese",BIOL 3800,2.83,55,T,12,23,13,2,2,0,52,10.9,1,3,7,2,7,15,1,3,8,2,2,2,2020,Spring,10086,3.25,58,T,21,28,6,0,0,0,55,5.2,0,0,16,5,7,13,8,1,5,0,0,0,0.41999999999999993
2019,Spring,10095,"Zhang, Hongmei",BIOL 3800,2.64,54,T,15,13,13,7,2,0,50,24.1,0,5,7,3,0,11,2,3,8,2,7,2,2020,Spring,10087,3.39,60,T,32,16,6,2,0,0,56,10,0,4,23,5,2,10,4,4,2,0,2,0,0.75
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,10088,3.74,22,T,13,5,1,0,0,0,19,13.6,0,4,8,1,2,3,0,0,1,0,0,0,0.26000000000000023
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,11104,3.73,24,T,17,4,1,0,0,0,22,8.3,0,1,15,1,2,2,0,0,0,1,0,0,0.25
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,11773,3.14,22,T,9,9,1,1,1,0,21,13.6,0,2,4,3,3,5,1,0,1,0,1,1,-0.33999999999999986
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,12834,4.15,13,T,13,0,0,0,0,0,13,0,0,5,8,0,0,0,0,0,0,0,0,0,0.6700000000000004
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,12835,3.36,24,T,15,3,1,1,2,0,22,20.8,0,5,9,1,0,3,0,1,0,0,1,2,-0.1200000000000001
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,13647,3.89,11,T,7,2,0,0,0,0,9,18.2,0,1,6,0,1,1,0,0,0,0,0,0,0.41000000000000014
2019,Spring,10097,"Cruz, Francisco",BIOL 3810,3.48,23,T,14,6,3,0,0,0,23,0,0,0,12,2,2,4,0,0,2,1,0,0,2020,Spring,14724,3.3,23,T,12,4,3,1,0,0,20,17.4,0,0,11,1,1,1,2,0,3,0,1,0,-0.18000000000000016
2019,Spring,10098,"Ulrich, Paul",BIOL 3840,2.34,71,T,14,21,11,8,10,0,64,33.8,1,5,7,2,5,10,6,3,7,1,8,10,2020,Spring,10090,3.46,70,T,37,19,5,2,0,0,63,12.9,0,5,23,9,6,11,2,3,2,0,2,0,1.12
2019,Spring,10100,"Parks, Samantha",BIOL 3880,2.46,27,T,5,7,8,3,1,0,24,18.5,2,0,4,1,0,5,2,1,7,0,3,1,2020,Spring,10091,2.73,38,T,7,5,8,0,2,0,22,44.7,1,1,4,2,1,4,0,4,3,1,0,2,0.27
2019,Spring,10100,"Parks, Samantha",BIOL 3880,2.46,27,T,5,7,8,3,1,0,24,18.5,2,0,4,1,0,5,2,1,7,0,3,1,2020,Spring,20063,2.71,53,T,13,9,7,2,4,0,35,39.6,3,5,6,2,0,8,1,1,4,2,2,4,0.25
2019,Spring,10102,"Zellars, Malcolm",BIOL 3900,2.51,49,T,12,11,10,5,5,0,43,30.6,1,4,7,1,2,8,1,4,6,0,5,5,2020,Spring,10093,3.07,49,T,12,24,6,1,1,0,44,14.3,0,1,6,5,10,10,4,3,3,0,1,1,0.56
2019,Spring,10102,"Zellars, Malcolm",BIOL 3900,2.51,49,T,12,11,10,5,5,0,43,30.6,1,4,7,1,2,8,1,4,6,0,5,5,2020,Spring,10094,2.92,57,T,15,22,10,2,2,0,51,17.5,0,1,11,3,4,14,4,5,5,0,2,2,0.41000000000000014
2019,Spring,10102,"Zellars, Malcolm",BIOL 3900,2.51,49,T,12,11,10,5,5,0,43,30.6,1,4,7,1,2,8,1,4,6,0,5,5,2020,Spring,11544,4,6,T,4,0,0,0,0,0,4,33.3,0,0,3,1,0,0,0,0,0,0,0,0,1.4900000000000002
2019,Spring,10103,"Zellars, Malcolm",BIOL 3900,2.3,64,T,13,16,14,8,9,0,60,32.8,0,5,6,2,4,8,4,2,12,0,8,9,2020,Spring,10093,3.07,49,T,12,24,6,1,1,0,44,14.3,0,1,6,5,10,10,4,3,3,0,1,1,0.77
2019,Spring,10103,"Zellars, Malcolm",BIOL 3900,2.3,64,T,13,16,14,8,9,0,60,32.8,0,5,6,2,4,8,4,2,12,0,8,9,2020,Spring,10094,2.92,57,T,15,22,10,2,2,0,51,17.5,0,1,11,3,4,14,4,5,5,0,2,2,0.6200000000000001
2019,Spring,10103,"Zellars, Malcolm",BIOL 3900,2.3,64,T,13,16,14,8,9,0,60,32.8,0,5,6,2,4,8,4,2,12,0,8,9,2020,Spring,11544,4,6,T,4,0,0,0,0,0,4,33.3,0,0,3,1,0,0,0,0,0,0,0,0,1.7000000000000002
